Companies Name,Domain,Year,Market Expansion- Investigating potential markets and entering them effciently. ,Increasing Product Mix ,Research and Development Benefit and Patents & Intellectual Property ,Increased geographical reach and customers,"Distribuation Channel Expansion -  In eCommerce site, physical store, online marketplaces and  B2B retail. ",Cross Selling - Marketing additional product to existing customer,Rebranding,Data Integrity and One true source of information -  Centralized System,"Data Disparity - Time spent entering, maintaining, and collating that data",Improved Standardisation - More consolidate technical environment by using standard s/w across,Improving  Utilisation and IT Infrastructure - s/w and h/w resource utilization at max,Improved Security /Complaince/Threat Detection & Internal IT Governance- Improved secuirty protocols,Improved Business Intelligence - analyzing data and imrpoving  effciency ,"Improved Flexibility - New system, s/w & h/w onboarding is easy in standardized environment.","New TechNology Advancement - Cloud based, Big Data, RPA, ML and expanding WAN","Providing Development and Testing Environment, Tools  & Software- IDE to build application upon",Heavy Processing workloads & Performance requirement.,IT Consolidation,Regular Software updates & Hardware manitianence,IT Realted Cost Benefit,Removing old legacy sytems,Improved Data Recovery and Backup,Tax Shield/ benefit - Reduction in taxable income for an corporation achieved through claiming allowable deductions. ,Debt Capacity -  Meeting financial obligations when they are due without causing insolvency. ,EcoNomies of Scale - Cost advantages reaped by companies when production becomes efficient.,Increased Operational Effciency - bigger level of expertise,Redundant Storage  Management - effcient storage management.,Staff headcount,Consolidating offices and other locations - Capturing new locations and merging offices.,Consolidating suppliers & renegotiating supplier terms, Overall Maximum asset utilization,Reducing costs through exchange of best practices,Reduced Training cost,Reducing competition,Monetary Benefit/Shares Profit,"Imoroving Buisness Efficiency  in terms of techNology - Agility, Scalable and Smiplicity",Novel and Built-In Customized solution,Higher Customer Satisfaction - Customer Profiling,"Financial Management, HR Payroll, Logistics and Internal Communication Improvement.",Sustanibility and reducing carbon footprint,Improved Customer support/Service Desk and Help Desk Consolidation,,,,
Bharti Infratel  and Indus Towers ,Telecomm Industry ,2020,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,,,,
"National Institute of Miners’ Health (NIMH) and National Institute of Occupational Health (NIOH), ",Government,2019,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,
Bank of Baroda Dena Bank and Vijaya Bank,BFSI,2019,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,,,,
Vodafone and Idea,Telecomm Industry ,2018,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,,,
Tata Steel VS Thyssenkrupp,Steel Industry,2018,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,,,,
Flipkart and E-bay India,E Commerce,2017,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,,,,
TATA Motors and JLR,Automobile,2008,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,,,,
Sun Pharmaceutical and Rnabaxy Labrorities,Pharmaceuticals,2014,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,,,,
Amazon and Whole Food Markets,E Commerce,2017,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,
HUL and GSK,FMCG,2018,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,,,,
Tata Steel has and Bhushan Steel (BSL) ,Steel Industry,2018,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,,,
Kraft Heinz Company  ,FMCG,2015,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,
Sales Force and Slack,Technology,2020,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,,,,
Microsoft and LinkedIN,Technology,2016,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,
Microsoft and GitHub,Technology,2018,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,,,,
Google and Youtube,Technology,2006,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,,,,
Amazonand PillPack,Pharmaceuticals,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,
Looker and Google,Technology,2019,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,,,,
Apple Dialog Semiconductor,Technology,2018,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,,,
Apple Shazam,Technology,2017,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,
Vodafone Idea and IBM contract,Telecomm Industry ,2018,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,,,,
Chubb and IBM contract,BFSI,2016,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,
Accenture and US Airforce,Government,2015,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,,,,
Atos SE and PostNord ,Logistics,2012,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
FNZ and Santander UK,BFSI,2015,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,,,
TCS abd KGI Bank,BFSI,2019,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,,,
Sales Force and  Emergencias,Healthcare,2019,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,,,,
Microsoft & Dayton Childrens Hospital,Healthcare,2020,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,,,
Infor & Yale new haven health system,Healthcare,2017,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,,,,
Ultimate Software Group & Deborah Heart ,Healthcare,2012,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,,,,
Infosys& Dialmer AG,Automobile,2014,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
HP & Alcatel-Lucent,Telecomm Industry ,2009,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,
NISource and IBM,Resource Industry,2009,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,,,
"Energy Enterprise Solutions, LLC and US Department of Energy",Government,2008,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,,,,
Ericsson and Hewlett Packard Enterprise Company,Discrete Manufacturing,2003,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,,,,
Florida Department of Transportation (FDOT) and  awarded Xerox,Logistic and Transportation,2015,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,
TNT Express N.V. Accenture PLC,Logistic and Transportation,2015,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,
US Federal Aviation Administration and Computer Sciences Corporation,Logistic and Transportation,2015,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,
Thomas Cook Group plc and Accenture,Logistic and Transportation,2011,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,,,
Saudi Arabian Airlines and WIPRO,Logistic and Transportation,2008,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Scandinavian Airlines System and Tata Consultancy Services Limited,Logistic and Transportation,2012,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
TotalEnergies SE and TCS,Resource Industry,2018,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Rio Tinto  & Orange Business Services ,Resource Industry,2012,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,,,,
Schlumberger and Google Cloud,Resource Industry,2021,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,,,,
Dimension Data Holdings and OZ Minerals ,Resource Industry,2010,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,
Compania Minera Ares S.A.C. and SAP SE,Resource Industry,2019,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,
Volcan Compania Minera S.A.A. and Adexus S.A,Resource Industry,2014,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
The Gap Inc and  IBM Global Services,Retail,2006,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,,,,
Arcos Dourados Comercio de Alimentos Ltda. And Salesforce,Retail,2018,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,,
Vertex’s IT infrastructure & Cable & Wireless plc (C&W),Professional Services,2010,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
"Pinnacle Group and Rackspace Hosting, Inc",Professional Services,2015,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,
Sensis Holdings Pty Ltd. and Amdocs Limited,Professional Services,2006,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,,
NortonLifeLock Inc. and Adobe Systems,Professional Services,2011,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,
"Eversheds Sutherland, LLP and Computacenter",Professional Services,2006,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,
Randstad Holdings N.V. and Amazon Web Services,Professional Services,2017,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Biffa Group Ltd and Phoenix IT Group,Professional Services,2013,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Triton Container International Limited and NTT DATA Services,Professional Services,2000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
"Spotless Group Limited and Savvis, Inc.",Professional Services,2011,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Jacques Whitford Ltd and Xwave Solutions,Professional Services,2006,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Schneider Electric  and IBM,Wholesale,2015,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Office Depot Inc. and Capgemini ,Wholesale,2014,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
J D Williams groups limited and IBM Global Services,Wholesale,2015,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,,,,
Prime Therapeutics and Infosys Public Services,Wholesale,2014,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,
"Luxottica Group SpA and HP Enterprise Services, LLC",Wholesale,2012,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Sodexo Oy and  TietoEnator Oyj ,Wholesale,2007,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,
Wajax Corporation and Infor US,Wholesale,2020,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,
Industrial and Commercial Bank of China (Argentina) and IBM Global Services,Banking,2019,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,,
Affin Bank Berhad and IBM Global Services,Banking,2007,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,
First Horizon Bank and DXC Technology ,Banking,2021,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
US Naval Sea Systems Command and CACI International Inc,Government,2008,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Defense Information Systems Agency and Unisys Corporation,Government,2019,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
State of Ohio Computer Center & IBM Global Services,Government,2013,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
"Ferrovial, S.A.  Telefonica SA",Construction,2010,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
EDF Energy PLC and Atos,Construction,2012,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Balfour Beatty and Fujitsu limited,Construction,2013,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Docu Group and  InfraServ GmbH & Co. Gendorf KG,Construction,2014,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,
